logAge   ,Mass,Gmag,BPmag,RPmag
7.50000,9.028000,-5.1630,-2.7050,-6.4460
7.50000,9.029000,-5.1650,-2.7120,-6.4470
7.50000,9.031000,-5.1690,-2.7240,-6.4500
7.50000,9.034000,-5.1750,-2.7440,-6.4550
7.50000,9.039000,-5.1860,-2.7790,-6.4640
7.50000,9.041000,-5.1910,-2.7950,-6.4680
7.50000,9.045000,-5.2000,-2.8200,-6.4740
7.60000,0.090000,12.9720,15.7080,11.6350
7.60000,0.091000,12.9620,15.6970,11.6250
7.60000,0.100000,12.7900,15.5280,11.4530
7.60000,0.100000,12.7900,15.5280,11.4530
7.60000,0.115000,12.5410,15.2820,11.2030
7.60000,0.120000,12.4720,15.2150,11.1350
7.60000,0.121000,12.4550,15.1970,11.1170
7.60000,0.140000,12.0820,14.6610,10.7630
7.60000,0.160000,11.7310,14.1430,10.4320
7.60000,0.176000,11.4920,13.8000,10.2070
7.60000,0.207000,11.0860,13.2190,9.8270
7.60000,0.227000,10.8740,12.9180,9.6300
7.60000,0.240000,10.7370,12.7270,9.5010
7.60000,0.250000,10.6450,12.5980,9.4160
7.60000,0.258000,10.5730,12.4990,9.3490
7.60000,0.263000,10.5240,12.4330,9.3040
7.60000,0.292000,10.2810,12.1020,9.0770
7.60000,0.300000,10.2210,12.0200,9.0220
7.60000,0.316000,10.1040,11.8590,8.9150
7.60000,0.350000,9.8770,11.5500,8.7060
7.60000,0.353000,9.8620,11.5300,8.6910
7.60000,0.400000,9.5890,11.1800,8.4360
7.60000,0.450000,9.3260,10.8400,8.1930
7.60000,0.500000,9.0560,10.4940,7.9450
7.60000,0.500000,9.0540,10.4910,7.9430
7.60000,0.515000,8.9770,10.3920,7.8730
7.60000,0.546000,8.8160,10.1890,7.7240
7.60000,0.550000,8.7950,10.1620,7.7050
7.60000,0.586000,8.5880,9.9000,7.5160
7.60000,0.600000,8.5090,9.8000,7.4430
7.60000,0.624000,8.3540,9.6000,7.3050
7.60000,0.650000,8.1790,9.3710,7.1490
7.60000,0.660000,8.1060,9.2740,7.0870
7.60000,0.667000,8.0480,9.1950,7.0350
7.60000,0.697000,7.7620,8.8150,6.7900
7.60000,0.700000,7.7240,8.7650,6.7570
7.60000,0.725000,7.2430,8.0900,6.3720
7.60000,0.743000,6.9220,7.6530,6.1170
7.60000,0.750000,6.8020,7.4930,6.0220
7.60000,0.767000,6.6370,7.2940,5.8800
7.60000,0.800000,6.2900,6.8770,5.5810
7.60000,0.815000,6.1230,6.6770,5.4380
7.60000,0.844000,5.8230,6.3200,5.1820
7.60000,0.850000,5.7700,6.2590,5.1380
7.60000,0.856000,5.7120,6.1900,5.0880
7.60000,0.865000,5.6210,6.0840,5.0100
7.60000,0.899000,5.4220,5.8510,4.8400
7.60000,0.908000,5.3750,5.7970,4.8000
7.60000,0.944000,5.2050,5.5970,4.6560
7.60000,0.950000,5.1850,5.5740,4.6400
7.60000,1.000000,5.0110,5.3740,4.4900
7.60000,1.019000,4.9560,5.3110,4.4430
7.60000,1.050000,4.8400,5.1820,4.3390
7.60000,1.064000,4.7930,5.1290,4.2970
7.60000,1.099000,4.6240,4.9420,4.1470
7.60000,1.149000,4.3950,4.6900,3.9410
7.60000,1.192000,4.1570,4.4280,3.7290
7.60000,1.200000,4.1260,4.3940,3.7010
7.60000,1.202000,4.1120,4.3790,3.6890
7.60000,1.246000,3.9430,4.1960,3.5360
7.60000,1.250000,3.9060,4.1540,3.5060
7.60000,1.274000,3.7990,4.0350,3.4100
7.60000,1.300000,3.6850,3.9100,3.3110
7.60000,1.313000,3.6260,3.8450,3.2600
7.60000,1.350000,3.4830,3.6910,3.1320
7.60000,1.400000,3.3020,3.4930,2.9730
7.60000,1.450000,3.1320,3.3070,2.8240
7.60000,1.500000,2.9700,3.1300,2.6860
7.60000,1.550000,2.8180,2.9610,2.5610
7.60000,1.600000,2.6750,2.7990,2.4480
7.60000,1.649000,2.5370,2.6430,2.3400
7.60000,1.674000,2.4710,2.5690,2.2900
7.60000,1.699000,2.4090,2.4980,2.2420
7.60000,1.724000,2.3470,2.4290,2.1950
7.60000,1.749000,2.2890,2.3630,2.1510
